episode,total_reward,steps,overloads_total,max_severity,avg_util_mean,power_shed_est,alpha,critic_loss_mean,actor_loss_mean,total_steps
1,28753.43,8759,51621,5.5718,0.2830,8749338.4,1.00000,0.000000,0.000000,8759
2,17624.09,8759,24057,5.8842,0.2121,30569981.1,0.94897,912.591652,17.561719,17518
3,10762.41,8759,11217,5.9971,0.1722,43758221.3,0.45837,1.743330,32.199049,26277
4,10749.54,8759,11098,5.3210,0.1717,43778723.2,0.19118,0.527251,33.237690,35036
5,10760.81,8759,10831,5.2390,0.1719,43754273.5,0.07972,0.192761,24.779410,43795
6,10669.67,8759,11868,4.9556,0.1724,43782718.9,0.03326,0.068913,15.591466,52554
7,10551.77,8759,13333,5.3638,0.1729,43808590.2,0.01387,0.021946,8.169093,61313
8,10465.77,8759,15046,5.4803,0.1748,43804824.1,0.01000,0.006088,2.859784,70072
9,10416.86,8759,15333,5.2858,0.1746,43821732.6,0.01000,0.003861,-0.590888,78831
10,10501.80,8759,15345,5.2407,0.1751,43730463.3,0.01000,0.004946,-2.819511,87590
11,10455.99,8759,15007,5.0250,0.1750,43810447.9,0.01000,0.007190,-4.272102,96349
12,10490.44,8759,14371,5.5229,0.1743,43817941.8,0.01000,0.009493,-5.069047,105108
