episode,total_reward,steps,overloads_total,max_severity,avg_util_mean,power_shed_est,alpha,critic_loss_mean,actor_loss_mean,total_steps
1,29170.22,8759,71419,3.8281,0.2761,4280469.8,0.10000,0.000000,0.000000,236493
2,29175.73,8759,71264,3.8144,0.2760,4281270.5,0.10000,0.000000,0.000000,245252
3,29174.25,8759,71340,3.8097,0.2760,4281489.5,0.10000,0.000000,0.000000,254011
4,-21031.44,8759,238825,29.7622,0.3107,43737130.5,0.13556,21.058323,44.297655,262770
5,-21187.17,8759,239430,36.6037,0.3115,43791838.8,0.32108,1.101023,49.798498,271529
6,-21136.01,8759,239675,28.2474,0.3108,43818726.6,0.76837,4.805005,84.808694,280288
7,-20914.05,8759,237210,30.7508,0.3093,43793428.1,1.83868,23.999762,184.064620,289047
8,-21095.21,8759,239238,40.9392,0.3105,43811491.7,2.00000,67.078825,380.052524,297806
9,-21119.72,8759,238825,34.9762,0.3106,43809137.3,2.00000,82.000658,544.671558,306565
10,-21058.92,8759,239247,30.2397,0.3104,43783405.8,2.00000,109.598874,651.230137,315324
11,-21046.26,8759,237852,33.3415,0.3098,43847144.8,2.00000,121.522974,720.211810,324083
12,-21222.50,8759,239868,35.3319,0.3116,43822714.9,2.00000,121.365275,764.206631,332842
13,-21238.41,8759,240518,27.1679,0.3126,43726827.2,2.00000,116.347711,793.132184,341601
14,-21191.62,8759,239789,30.1237,0.3114,43785346.7,2.00000,121.595809,816.687168,350360
15,-21091.88,8759,238709,38.9601,0.3109,43803566.7,2.00000,154.506109,834.643390,359119
16,-21258.04,8759,239327,30.2307,0.3119,43813532.2,2.00000,164.422058,843.699787,367878
17,-20965.50,8759,237680,34.4589,0.3094,43802810.6,2.00000,197.989309,847.679400,376637
18,-21176.79,8759,238913,30.6114,0.3117,43781294.7,2.00000,186.162113,848.815109,385396
19,-21133.76,8759,239049,34.7868,0.3110,43752330.4,2.00000,170.998295,849.473537,394155
20,-21091.75,8759,238598,30.8874,0.3107,43806123.8,2.00000,156.375896,851.169215,402914
21,-21332.03,8759,240016,32.2520,0.3125,43784474.5,2.00000,187.707221,851.302586,411673
22,-21218.85,8759,240161,28.8293,0.3119,43779630.9,2.00000,154.819849,850.380248,420432
23,-20987.56,8759,238326,34.4109,0.3103,43785129.4,2.00000,170.852963,849.859618,429191
24,-21328.45,8759,240085,35.4240,0.3121,43789343.6,2.00000,157.832392,850.379317,437950
25,-21182.84,8759,239391,36.9241,0.3113,43829599.3,2.00000,190.925541,848.958877,446709
26,-21093.27,8759,238809,35.5107,0.3109,43791807.6,2.00000,164.102122,849.079898,455468
27,-21090.63,8759,238761,31.4943,0.3105,43795500.4,2.00000,190.193889,851.279666,464227
28,-21015.76,8759,238450,35.7956,0.3101,43786104.3,2.00000,169.072102,853.925613,472986
