episode,total_reward,steps,overloads_total,max_severity,avg_util_mean,power_shed_est,alpha,critic_loss_mean,actor_loss_mean,total_steps
1,24484.42,8759,87024,9.7680,0.2792,8749338.4,0.02000,0.000000,0.000000,8759
2,24444.54,8759,87656,9.3312,0.2795,8763854.4,0.02000,0.000000,0.000000,17518
3,24464.01,8759,87176,10.4296,0.2794,8762807.2,0.02000,0.000000,0.000000,26277
4,-21025.35,8759,238635,34.9754,0.3108,43711834.1,0.02000,11.100336,20.003903,35036
5,-21072.04,8759,239018,31.4583,0.3108,43776048.7,0.02000,0.078880,14.027909,43795
6,-21209.60,8759,239862,35.3088,0.3118,43770207.2,0.02000,0.067991,10.934742,52554
7,-21117.47,8759,238999,32.2875,0.3108,43744760.4,0.02000,0.067240,9.872293,61313
8,-21082.64,8759,238521,30.7145,0.3107,43794838.0,0.02000,0.064017,9.821933,70072
9,-21215.26,8759,238487,35.5871,0.3110,43831288.6,0.02000,0.065772,10.269435,78831
10,-21208.20,8759,239949,31.5114,0.3120,43763304.6,0.02000,0.067674,10.974116,87590
