episode,total_reward,steps,overloads_total,max_severity,avg_util_mean,power_shed_est,alpha,critic_loss_mean,actor_loss_mean,total_steps
1,23294.84,8759,111011,11.0290,0.3169,8749338.4,1.00000,0.000000,0.000000,8759
2,23344.99,8759,110410,11.7433,0.3167,8763854.4,1.00000,0.000000,0.000000,17518
3,23314.68,8759,110354,11.5114,0.3170,8762807.2,1.00000,0.000000,0.000000,26277
4,28038.19,8759,96846,4.2732,0.3178,4280578.4,0.41656,0.006644,-2.686305,35036
5,28039.31,8759,96818,4.3263,0.3178,4279541.6,0.17347,0.014818,-6.807030,43795
6,28036.29,8759,96901,4.3087,0.3178,4279574.0,0.10000,0.021792,-9.731869,52554
7,28038.03,8759,96845,4.2846,0.3178,4278151.3,0.10000,0.027666,-11.749111,61313
8,28033.05,8759,96913,4.3278,0.3178,4279969.4,0.10000,0.038461,-13.122811,70072
9,28033.44,8759,96906,4.2565,0.3178,4281944.4,0.10000,0.049850,-14.145599,78831
10,28040.24,8759,96822,4.3927,0.3178,4278609.9,0.10000,0.052822,-14.780716,87590
11,28040.58,8759,96782,4.3050,0.3178,4281511.5,0.10000,0.052043,-15.272233,96349
12,28038.85,8759,96901,4.3086,0.3178,4277866.9,0.10000,0.061640,-15.629281,105108
13,28034.70,8759,96918,4.3557,0.3178,4281435.0,0.10000,0.063106,-15.892885,113867
14,28033.38,8759,96886,4.3455,0.3178,4282426.7,0.10000,0.066343,-15.983536,122626
15,28031.21,8759,96966,4.2781,0.3178,4281409.9,0.10000,0.072474,-16.028544,131385
16,28036.32,8759,96880,4.3701,0.3178,4279854.5,0.10000,0.084589,-16.091286,140144
17,28032.88,8759,96925,4.3354,0.3178,4281310.8,0.10000,0.084312,-16.157747,148903
18,28037.25,8759,96849,4.2549,0.3178,4280108.7,0.10000,0.077725,-16.200921,157662
19,28035.91,8759,96852,4.3679,0.3178,4280470.2,0.10000,0.077202,-16.202607,166421
20,28037.10,8759,96855,4.2434,0.3178,4280340.1,0.10000,0.073544,-16.164989,175180
21,28035.50,8759,96918,4.3446,0.3178,4279620.5,0.10000,0.080051,-16.133607,183939
22,28037.11,8759,96825,4.4059,0.3178,4280676.7,0.10000,0.069016,-16.097525,192698
23,28037.02,8759,96861,4.2921,0.3178,4281862.1,0.10000,0.074093,-16.025970,201457
24,28043.23,8759,96755,4.2523,0.3178,4278774.6,0.10000,0.077033,-15.975758,210216
25,28036.24,8759,96905,4.2583,0.3178,4278496.3,0.10000,0.084103,-15.980392,218975
26,28038.87,8759,96817,4.2398,0.3178,4280858.6,0.10000,0.072149,-15.990971,227734
27,28035.83,8759,96948,4.3820,0.3178,4278559.9,0.10000,0.069483,-15.973808,236493
28,28037.33,8759,96879,4.2593,0.3178,4278817.2,0.10000,0.064827,-15.918405,245252
29,28036.30,8759,96901,4.2546,0.3178,4280313.8,0.10000,0.076365,-15.842694,254011
30,28040.61,8759,96839,4.2877,0.3178,4279713.5,0.10000,0.077075,-15.783102,262770
31,28039.16,8759,96870,4.2920,0.3178,4278448.4,0.10000,0.077855,-15.739078,271529
